IP Address,Browser,Request Count,HTTP Method,Status Code,Response Time (ms),Timestamp (ms)
127.0.0.1,Chrome,1,GET,200,0,1726360871261
127.0.0.1,Chrome,2,GET,200,0,1726360871400
127.0.0.1,Chrome,3,GET,200,0,1726360871542
127.0.0.1,Chrome,4,GET,200,0,1726360871682
127.0.0.1,Chrome,5,GET,200,0,1726360871848
127.0.0.1,Chrome,6,GET,200,0,1726360871996
127.0.0.1,Chrome,7,GET,200,0,1726360872156
127.0.0.1,Chrome,8,GET,200,0,1726360872300
127.0.0.1,Chrome,9,GET,200,0,1726360872606
127.0.0.1,Chrome,10,GET,200,0,1726360874065
127.0.0.1,Chrome,11,GET,200,0,1726360874122
127.0.0.1,Chrome,12,GET,200,0,1726360874207
127.0.0.1,Chrome,13,GET,200,0,1726360874261
127.0.0.1,Chrome,14,GET,200,0,1726360874342
127.0.0.1,Chrome,15,GET,200,0,1726360874415
127.0.0.1,Chrome,16,GET,200,0,1726360874478
127.0.0.1,Chrome,17,GET,200,0,1726360874562
127.0.0.1,Chrome,18,GET,200,0,1726360874624
127.0.0.1,Chrome,19,GET,200,0,1726360874680
127.0.0.1,Chrome,20,GET,200,0,1726360874783
127.0.0.1,Chrome,21,GET,200,0,1726360874874
127.0.0.1,Chrome,22,GET,200,0,1726360874897
127.0.0.1,Chrome,23,GET,200,0,1726360874951
127.0.0.1,Firefox,24,GET,200,0,1726360878796
127.0.0.1,Firefox,25,GET,200,0,1726360878921
127.0.0.1,Firefox,26,GET,200,0,1726360879077
127.0.0.1,Firefox,27,GET,200,0,1726360879231
127.0.0.1,Firefox,28,GET,200,0,1726360879364
127.0.0.1,Firefox,29,GET,200,0,1726360879509
127.0.0.1,Firefox,30,GET,200,0,1726360879654
127.0.0.1,Firefox,31,GET,200,0,1726360879808
127.0.0.1,Firefox,32,GET,200,0,1726360879948
127.0.0.1,Firefox,33,GET,200,0,1726360880098
127.0.0.1,Firefox,34,GET,200,0,1726360880261
127.0.0.1,Firefox,35,GET,200,0,1726360880413
127.0.0.1,Firefox,36,GET,200,0,1726360880563
127.0.0.1,Firefox,37,GET,200,0,1726360881152
127.0.0.1,Firefox,38,GET,200,0,1726360881181
127.0.0.1,Firefox,39,GET,200,0,1726360881340
127.0.0.1,Firefox,40,GET,200,0,1726360881540
127.0.0.1,Firefox,41,GET,200,0,1726360881655
127.0.0.1,Firefox,42,GET,200,0,1726360881822
127.0.0.1,Firefox,43,GET,200,0,1726360881989
127.0.0.1,Firefox,44,GET,200,0,1726360882159
127.0.0.1,Firefox,45,GET,200,0,1726360882319
127.0.0.1,Firefox,46,GET,200,0,1726360882492
127.0.0.1,Firefox,47,GET,200,0,1726360882653
127.0.0.1,Firefox,48,GET,200,0,1726360882802
127.0.0.1,Firefox,49,GET,200,0,1726360882968
127.0.0.1,Firefox,50,GET,200,0,1726360883124
127.0.0.1,Firefox,51,GET,200,1,1726360883287
127.0.0.1,Unknown,52,GET,200,0,1726360908050
127.0.0.1,Unknown,53,GET,200,0,1726360908238
127.0.0.1,Unknown,54,GET,200,0,1726360908393
127.0.0.1,Unknown,55,GET,200,0,1726360908532
127.0.0.1,Unknown,56,GET,200,0,1726360908668
127.0.0.1,Unknown,57,GET,200,0,1726360908812
127.0.0.1,Unknown,58,GET,200,0,1726360908947
127.0.0.1,Unknown,59,GET,200,0,1726360909086
127.0.0.1,Unknown,60,GET,200,0,1726360909254
127.0.0.1,Unknown,61,GET,200,0,1726360909404
127.0.0.1,Unknown,62,GET,200,0,1726360909551
127.0.0.1,Unknown,63,GET,200,0,1726360909713
127.0.0.1,Unknown,64,GET,200,0,1726360909856
127.0.0.1,Unknown,65,GET,200,0,1726360909981
127.0.0.1,Chrome,66,GET,200,0,1726360914024
127.0.0.1,Chrome,67,GET,200,0,1726360914115
127.0.0.1,Chrome,68,GET,200,0,1726360914145
127.0.0.1,Chrome,69,GET,200,0,1726360914208
127.0.0.1,Chrome,70,GET,200,0,1726360914311
127.0.0.1,Chrome,71,GET,200,0,1726360914399
127.0.0.1,Chrome,72,GET,200,0,1726360914447
127.0.0.1,Chrome,73,GET,200,0,1726360914526
127.0.0.1,Chrome,74,GET,200,0,1726360914595
127.0.0.1,Chrome,75,GET,200,0,1726360914674
127.0.0.1,Chrome,76,GET,200,0,1726360914734
127.0.0.1,Chrome,77,GET,200,0,1726360914809
127.0.0.1,Chrome,78,GET,200,0,1726360914875
127.0.0.1,Chrome,79,GET,200,0,1726360914962
127.0.0.1,Chrome,80,GET,200,0,1726360915013
127.0.0.1,Chrome,81,GET,200,0,1726360915090
127.0.0.1,Chrome,82,GET,200,0,1726360915161
127.0.0.1,Chrome,83,GET,200,0,1726360915231
127.0.0.1,Chrome,84,GET,200,0,1726360915293
127.0.0.1,Chrome,85,GET,200,0,1726360915385
127.0.0.1,Firefox,86,GET,200,0,1726360916999
127.0.0.1,Firefox,87,GET,200,0,1726360917130
127.0.0.1,Firefox,88,GET,200,0,1726360917279
127.0.0.1,Firefox,89,GET,200,0,1726360917416
127.0.0.1,Firefox,90,GET,200,0,1726360917563
127.0.0.1,Firefox,91,GET,200,0,1726360917715
127.0.0.1,Firefox,92,GET,200,0,1726360917851
127.0.0.1,Firefox,93,GET,200,0,1726360918001
127.0.0.1,Firefox,94,GET,200,0,1726360918149
127.0.0.1,Firefox,95,GET,200,0,1726360918300
127.0.0.1,Firefox,96,GET,200,0,1726360918454
127.0.0.1,Firefox,97,GET,200,0,1726360918594
127.0.0.1,Chrome,98,GET,200,0,1726360920531
127.0.0.1,Chrome,99,GET,200,0,1726360920585
127.0.0.1,Chrome,100,GET,200,0,1726360920657
127.0.0.1,Chrome,101,GET,200,0,1726360920715
127.0.0.1,Chrome,102,GET,200,0,1726360920790
127.0.0.1,Chrome,103,GET,200,0,1726360920889
127.0.0.1,Chrome,104,GET,200,0,1726360920941
127.0.0.1,Chrome,105,GET,200,0,1726360921022
127.0.0.1,Chrome,106,GET,200,0,1726360921105
127.0.0.1,Chrome,107,GET,200,0,1726360921187
127.0.0.1,Chrome,108,GET,200,0,1726360921257
127.0.0.1,Chrome,109,GET,200,0,1726360921356
127.0.0.1,Chrome,110,GET,200,0,1726360921417
127.0.0.1,Chrome,111,GET,200,0,1726360921495
127.0.0.1,Chrome,112,GET,200,0,1726360921561
127.0.0.1,Chrome,113,GET,200,0,1726360921641
127.0.0.1,Chrome,114,GET,200,0,1726360921692
127.0.0.1,Chrome,115,GET,200,0,1726360921768
127.0.0.1,Unknown,116,GET,200,0,1726360924792
127.0.0.1,Unknown,117,GET,200,0,1726360924952
127.0.0.1,Unknown,118,GET,200,0,1726360925113
127.0.0.1,Unknown,119,GET,200,0,1726360925270
127.0.0.1,Unknown,120,GET,200,0,1726360925431
127.0.0.1,Unknown,121,GET,200,0,1726360925780
127.0.0.1,Unknown,122,GET,200,0,1726360925896
127.0.0.1,Unknown,123,GET,200,0,1726360926054
127.0.0.1,Unknown,124,GET,200,0,1726360926213
127.0.0.1,Unknown,125,GET,200,0,1726360926375
127.0.0.1,Unknown,126,GET,200,0,1726360926512
127.0.0.1,Unknown,127,GET,200,0,1726360926678
127.0.0.1,Unknown,128,GET,200,0,1726360926833
127.0.0.1,Unknown,129,GET,200,0,1726360926972
127.0.0.1,Unknown,130,GET,200,0,1726360927157
127.0.0.1,Chrome,131,GET,200,0,1726360949563
127.0.0.1,Chrome,132,GET,200,0,1726360949701
127.0.0.1,Chrome,133,GET,200,0,1726360949716
127.0.0.1,Chrome,134,GET,200,0,1726360949783
127.0.0.1,Chrome,135,GET,200,0,1726360949854
127.0.0.1,Chrome,136,GET,200,0,1726360949948
127.0.0.1,Chrome,137,GET,200,0,1726360949993
127.0.0.1,Chrome,138,GET,200,0,1726360950096
127.0.0.1,Chrome,139,GET,200,0,1726360950143
127.0.0.1,Chrome,140,GET,200,0,1726360950334
127.0.0.1,Chrome,141,GET,200,0,1726360950429
127.0.0.1,Chrome,142,GET,200,0,1726360950438
127.0.0.1,Chrome,143,GET,200,0,1726360950489
127.0.0.1,Chrome,144,GET,200,0,1726360950590
127.0.0.1,Chrome,145,GET,200,0,1726360950676
127.0.0.1,Chrome,146,GET,200,0,1726360950729
127.0.0.1,Chrome,147,GET,200,0,1726360950809
127.0.0.1,Chrome,148,GET,200,0,1726360950876
127.0.0.1,Chrome,149,GET,200,0,1726360950950
127.0.0.1,Chrome,150,GET,200,0,1726360951024
127.0.0.1,Chrome,151,GET,200,0,1726360951102
127.0.0.1,Chrome,152,GET,200,0,1726360951195
127.0.0.1,Chrome,153,GET,200,0,1726360951278
127.0.0.1,Chrome,154,GET,200,0,1726360951348
127.0.0.1,Chrome,155,GET,200,0,1726360951469
127.0.0.1,Chrome,156,GET,200,0,1726360951486
127.0.0.1,Chrome,157,GET,200,0,1726360951537
127.0.0.1,Chrome,158,GET,200,0,1726360951652
127.0.0.1,Chrome,159,GET,200,0,1726360951742
127.0.0.1,Chrome,160,GET,200,1,1726360951825
127.0.0.1,Chrome,161,GET,200,0,1726360951908
127.0.0.1,Chrome,162,GET,200,0,1726360951978
127.0.0.1,Chrome,163,GET,200,0,1726360952055
127.0.0.1,Chrome,164,GET,200,0,1726360952116
127.0.0.1,Chrome,165,GET,200,0,1726360952190
127.0.0.1,Chrome,166,GET,200,0,1726360952263
127.0.0.1,Chrome,167,GET,200,0,1726360952350
127.0.0.1,Chrome,168,GET,200,0,1726360952409
127.0.0.1,Chrome,169,GET,200,0,1726360952460
127.0.0.1,Chrome,170,GET,200,0,1726360952562
127.0.0.1,Chrome,171,GET,200,0,1726360952646
127.0.0.1,Chrome,172,GET,200,0,1726360952698
127.0.0.1,Chrome,173,GET,200,0,1726360952784
127.0.0.1,Chrome,174,GET,200,0,1726360952860
127.0.0.1,Chrome,175,GET,200,0,1726360952950
127.0.0.1,Chrome,176,GET,200,0,1726360953022
127.0.0.1,Chrome,177,GET,200,0,1726360953103
127.0.0.1,Chrome,178,GET,200,0,1726360953151
127.0.0.1,Chrome,179,GET,200,0,1726360953243
127.0.0.1,Chrome,180,GET,200,0,1726360953314
127.0.0.1,Chrome,181,GET,200,0,1726360953400
127.0.0.1,Chrome,182,GET,200,0,1726360953478
127.0.0.1,Chrome,183,GET,200,0,1726360953552
127.0.0.1,Chrome,184,GET,200,0,1726360953649
127.0.0.1,Chrome,185,GET,200,0,1726360953737
127.0.0.1,Chrome,186,GET,200,0,1726360953797
127.0.0.1,Chrome,187,GET,200,0,1726360953881
127.0.0.1,Chrome,188,GET,200,0,1726360953942
127.0.0.1,Chrome,189,GET,200,0,1726360954032
127.0.0.1,Chrome,190,GET,200,0,1726360954104
127.0.0.1,Chrome,191,GET,200,0,1726360954232
127.0.0.1,Chrome,192,GET,200,0,1726360954272
127.0.0.1,Chrome,193,GET,200,0,1726360954326
127.0.0.1,Chrome,194,GET,200,0,1726360954442
127.0.0.1,Chrome,195,GET,200,0,1726360954538
127.0.0.1,Chrome,196,GET,200,0,1726360954607
127.0.0.1,Chrome,197,GET,200,0,1726360954699
127.0.0.1,Chrome,198,GET,200,0,1726360954764
127.0.0.1,Chrome,199,GET,200,0,1726360954822
127.0.0.1,Chrome,200,GET,200,0,1726360954932
127.0.0.1,Chrome,201,GET,200,0,1726360955018
127.0.0.1,Chrome,202,GET,200,0,1726360955100
127.0.0.1,Chrome,203,GET,200,0,1726360955199
127.0.0.1,Chrome,204,GET,200,0,1726360955251
127.0.0.1,Chrome,205,GET,200,0,1726360955332
127.0.0.1,Chrome,206,GET,200,0,1726360955406
127.0.0.1,Chrome,207,GET,200,0,1726360955485
127.0.0.1,Chrome,208,GET,200,0,1726360955579
127.0.0.1,Chrome,209,GET,200,0,1726360955671
127.0.0.1,Chrome,210,GET,200,0,1726360955717
127.0.0.1,Chrome,211,GET,200,0,1726360955794
127.0.0.1,Firefox,212,GET,200,0,1726360967604
127.0.0.1,Firefox,213,GET,200,0,1726360967742
127.0.0.1,Firefox,214,GET,200,0,1726360967879
127.0.0.1,Firefox,215,GET,200,0,1726360968038
127.0.0.1,Firefox,216,GET,200,0,1726360968176
127.0.0.1,Firefox,217,GET,200,0,1726360968320
127.0.0.1,Firefox,218,GET,200,0,1726360968455
127.0.0.1,Firefox,219,GET,200,0,1726360968600
127.0.0.1,Firefox,220,GET,200,0,1726360968750
127.0.0.1,Firefox,221,GET,200,0,1726360968913
127.0.0.1,Firefox,222,GET,200,0,1726360969058
127.0.0.1,Firefox,223,GET,200,0,1726360969198
